-281, [-281.0],0,1
-408, [-408.0],0,1
-250, [-250.0],0,1
154, [154.0],0,1
-299, [-299.0],0,1
799, [799.0],0,1
-794, [-794.0],0,1
507, [507.0],1,1
510, [510.0],1,1
-497, [-497.0],0,1
-409, [-409.0],0,1
-380, [-380.0],0,1
476, [476.0],0,1
859, [859.0],0,1
172, [172.0],0,1
658, [658.0],0,1
-58, [-58.0],0,1
1308, [1308.0],0,1
761, [761.0],0,1
-370, [-370.0],0,1
-380, [-380.0],0,1
-372, [-372.0],0,1
544, [544.0],1,1
530, [530.0],1,1
468, [468.0],1,1
-502, [-502.0],0,1
-502, [-502.0],0,1
532, [532.0],1,1
-69, [-69.0],0,1
1488, [1488.0],0,1
399, [399.0],0,1
-231, [-231.0],0,1
-748, [-748.0],0,1
-581, [-581.0],0,1
-433, [-433.0],0,1
-309, [-309.0],0,1
-396, [-396.0],0,1
-440, [-440.0],0,1
-512, [-512.0],0,1
-415, [-415.0],0,1
516, [516.0],1,1
-493, [-493.0],0,1
516, [516.0],1,1
1238, [1238.0],1,1
1434, [1434.0],1,1
-97, [-97.0],0,1
-548, [-548.0],0,1
-370, [-370.0],0,1
-117, [-117.0],0,1
-25, [-25.0],0,1
1878, [1878.0],0,1
-446, [-446.0],0,1
-289, [-289.0],0,1
-353, [-353.0],0,1
-419, [-419.0],0,1
564, [564.0],1,1
562, [562.0],1,1
564, [564.0],1,1
-502, [-502.0],0,1
532, [532.0],1,1
532, [532.0],1,1
-336, [-336.0],0,1
-283, [-283.0],0,1
-348, [-348.0],0,1
1435.0, [1435.0], 1.0, 1 
1434.0, [1434.0], 1.0, 1 
